[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/omnetpp.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 1109, READ INSTS: 56, LAST WRITE DURATION: 333, LAST WRITE INSTS: 39, R/W DURATION RATIO: 3.33033
READ DURATION: 1610, READ INSTS: 96, LAST WRITE DURATION: 1781, LAST WRITE INSTS: 38, R/W DURATION RATIO: 0.903987
WAITED CYCLES: 680
READ DURATION: 2863, READ INSTS: 59, LAST WRITE DURATION: 262, LAST WRITE INSTS: 44, R/W DURATION RATIO: 10.9275
READ DURATION: 4564, READ INSTS: 65, LAST WRITE DURATION: 391, LAST WRITE INSTS: 38, R/W DURATION RATIO: 11.6726
READ DURATION: 9609, READ INSTS: 72, LAST WRITE DURATION: 308, LAST WRITE INSTS: 34, R/W DURATION RATIO: 31.1981
READ DURATION: 191, READ INSTS: 5, LAST WRITE DURATION: 109, LAST WRITE INSTS: 17, R/W DURATION RATIO: 1.75229
READ DURATION: 428, READ INSTS: 44, LAST WRITE DURATION: 545, LAST WRITE INSTS: 56, R/W DURATION RATIO: 0.785321
WAITED CYCLES: 272
READ DURATION: 370, READ INSTS: 34, LAST WRITE DURATION: 230, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.6087
READ DURATION: 439, READ INSTS: 42, LAST WRITE DURATION: 280, LAST WRITE INSTS: 23, R/W DURATION RATIO: 1.56786
READ DURATION: 487, READ INSTS: 52, LAST WRITE DURATION: 279, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.74552
READ DURATION: 1878, READ INSTS: 41, LAST WRITE DURATION: 198, LAST WRITE INSTS: 18, R/W DURATION RATIO: 9.48485
READ DURATION: 405, READ INSTS: 38, LAST WRITE DURATION: 228, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.77632
READ DURATION: 614, READ INSTS: 61, LAST WRITE DURATION: 262, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.34351
READ DURATION: 884, READ INSTS: 94, LAST WRITE DURATION: 225, LAST WRITE INSTS: 27, R/W DURATION RATIO: 3.92889
READ DURATION: 654, READ INSTS: 67, LAST WRITE DURATION: 315, LAST WRITE INSTS: 35, R/W DURATION RATIO: 2.07619
READ DURATION: 450, READ INSTS: 39, LAST WRITE DURATION: 403, LAST WRITE INSTS: 46, R/W DURATION RATIO: 1.11663
WAITED CYCLES: 68
READ DURATION: 611, READ INSTS: 67, LAST WRITE DURATION: 293, LAST WRITE INSTS: 38, R/W DURATION RATIO: 2.08532
READ DURATION: 890, READ INSTS: 102, LAST WRITE DURATION: 328, LAST WRITE INSTS: 29, R/W DURATION RATIO: 2.71341
READ DURATION: 649, READ INSTS: 64, LAST WRITE DURATION: 287, LAST WRITE INSTS: 31, R/W DURATION RATIO: 2.26132
READ DURATION: 592, READ INSTS: 59, LAST WRITE DURATION: 426, LAST WRITE INSTS: 38, R/W DURATION RATIO: 1.38967
READ DURATION: 461, READ INSTS: 42, LAST WRITE DURATION: 254, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.81496
READ DURATION: 529, READ INSTS: 47, LAST WRITE DURATION: 160, LAST WRITE INSTS: 22, R/W DURATION RATIO: 3.30625
READ DURATION: 1932, READ INSTS: 54, LAST WRITE DURATION: 265, LAST WRITE INSTS: 36, R/W DURATION RATIO: 7.29057
READ DURATION: 417, READ INSTS: 38, LAST WRITE DURATION: 220, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.89545
READ DURATION: 481, READ INSTS: 43, LAST WRITE DURATION: 260, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.85
READ DURATION: 443, READ INSTS: 47, LAST WRITE DURATION: 327, LAST WRITE INSTS: 39, R/W DURATION RATIO: 1.35474
READ DURATION: 428, READ INSTS: 48, LAST WRITE DURATION: 390, LAST WRITE INSTS: 37, R/W DURATION RATIO: 1.09744
WAITED CYCLES: 73
READ DURATION: 437, READ INSTS: 42, LAST WRITE DURATION: 260, LAST WRITE INSTS: 21, R/W DURATION RATIO: 1.68077
READ DURATION: 558, READ INSTS: 55, LAST WRITE DURATION: 243, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.2963
READ DURATION: 478, READ INSTS: 43, LAST WRITE DURATION: 192, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.48958
READ DURATION: 542, READ INSTS: 52, LAST WRITE DURATION: 295, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.83729
READ DURATION: 461, READ INSTS: 45, LAST WRITE DURATION: 244, LAST WRITE INSTS: 32, R/W DURATION RATIO: 1.88934
READ DURATION: 425, READ INSTS: 44, LAST WRITE DURATION: 291, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.46048
READ DURATION: 431, READ INSTS: 48, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.55036
READ DURATION: 463, READ INSTS: 48, LAST WRITE DURATION: 268, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.72761
READ DURATION: 500, READ INSTS: 49, LAST WRITE DURATION: 236, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.11864
READ DURATION: 602, READ INSTS: 59, LAST WRITE DURATION: 266, LAST WRITE INSTS: 22, R/W DURATION RATIO: 2.26316
READ DURATION: 2031, READ INSTS: 54, LAST WRITE DURATION: 297, LAST WRITE INSTS: 25, R/W DURATION RATIO: 6.83838
READ DURATION: 594, READ INSTS: 52, LAST WRITE DURATION: 132, LAST WRITE INSTS: 27, R/W DURATION RATIO: 4.5
READ DURATION: 486, READ INSTS: 47, LAST WRITE DURATION: 354, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.37288
READ DURATION: 505, READ INSTS: 47, LAST WRITE DURATION: 185, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.72973
READ DURATION: 464, READ INSTS: 45, LAST WRITE DURATION: 248, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.87097
READ DURATION: 457, READ INSTS: 45, LAST WRITE DURATION: 165, LAST WRITE INSTS: 23, R/W DURATION RATIO: 2.7697
READ DURATION: 636, READ INSTS: 64, LAST WRITE DURATION: 267, LAST WRITE INSTS: 35, R/W DURATION RATIO: 2.38202
READ DURATION: 496, READ INSTS: 47, LAST WRITE DURATION: 292, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.69863
READ DURATION: 602, READ INSTS: 61, LAST WRITE DURATION: 222, LAST WRITE INSTS: 30, R/W DURATION RATIO: 2.71171
READ DURATION: 604, READ INSTS: 56, LAST WRITE DURATION: 281, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.14947
READ DURATION: 515, READ INSTS: 48, LAST WRITE DURATION: 266, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.93609
