[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/pr_road_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 308, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.48701
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.68254
READ DURATION: 392, READ INSTS: 44, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46269
READ DURATION: 345, READ INSTS: 31, LAST WRITE DURATION: 1755, LAST WRITE INSTS: 21, R/W DURATION RATIO: 0.293367
WAITED CYCLES: 588
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 405, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.09136
WAITED CYCLES: 78
READ DURATION: 376, READ INSTS: 42, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.49206
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 318, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.30818
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.58993
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.81746
READ DURATION: 440, READ INSTS: 50, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.86441
READ DURATION: 437, READ INSTS: 49, LAST WRITE DURATION: 244, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.79098
READ DURATION: 425, READ INSTS: 49, LAST WRITE DURATION: 255, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.66667
