[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/pr_twitter_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 418, READ INSTS: 47, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.77119
READ DURATION: 436, READ INSTS: 44, LAST WRITE DURATION: 262, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.66412
READ DURATION: 454, READ INSTS: 49, LAST WRITE DURATION: 291, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.56014
READ DURATION: 440, READ INSTS: 43, LAST WRITE DURATION: 1697, LAST WRITE INSTS: 21, R/W DURATION RATIO: 0.37415
WAITED CYCLES: 215
READ DURATION: 376, READ INSTS: 42, LAST WRITE DURATION: 308, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.22078
READ DURATION: 440, READ INSTS: 50, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.39241
READ DURATION: 404, READ INSTS: 45, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.60317
READ DURATION: 357, READ INSTS: 39, LAST WRITE DURATION: 295, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.21017
READ DURATION: 408, READ INSTS: 47, LAST WRITE DURATION: 340, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.2
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53623
READ DURATION: 455, READ INSTS: 51, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.69776
READ DURATION: 386, READ INSTS: 43, LAST WRITE DURATION: 213, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.81221
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 342, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.2924
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.65079
READ DURATION: 386, READ INSTS: 45, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.39855
READ DURATION: 352, READ INSTS: 39, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.19728
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 326, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.35583
READ DURATION: 481, READ INSTS: 55, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.10965
READ DURATION: 400, READ INSTS: 41, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.69492
READ DURATION: 324, READ INSTS: 36, LAST WRITE DURATION: 1835, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.214286
WAITED CYCLES: 865
READ DURATION: 458, READ INSTS: 53, LAST WRITE DURATION: 362, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.26519
READ DURATION: 450, READ INSTS: 51, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.06422
READ DURATION: 466, READ INSTS: 53, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.84921
READ DURATION: 646, READ INSTS: 74, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.41045
READ DURATION: 705, READ INSTS: 76, LAST WRITE DURATION: 289, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.43945
READ DURATION: 700, READ INSTS: 82, LAST WRITE DURATION: 240, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.91667
READ DURATION: 595, READ INSTS: 69, LAST WRITE DURATION: 230, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.58696
READ DURATION: 616, READ INSTS: 73, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.94937
READ DURATION: 554, READ INSTS: 64, LAST WRITE DURATION: 342, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61988
READ DURATION: 578, READ INSTS: 68, LAST WRITE DURATION: 358, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61453
READ DURATION: 634, READ INSTS: 74, LAST WRITE DURATION: 324, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.95679
READ DURATION: 2059, READ INSTS: 75, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 7.46014
READ DURATION: 21302, READ INSTS: 2392, LAST WRITE DURATION: 267, LAST WRITE INSTS: 27, R/W DURATION RATIO: 79.7828
READ DURATION: 7553, READ INSTS: 701, LAST WRITE DURATION: 210, LAST WRITE INSTS: 17, R/W DURATION RATIO: 35.9667
READ DURATION: 33129, READ INSTS: 3406, LAST WRITE DURATION: 154, LAST WRITE INSTS: 19, R/W DURATION RATIO: 215.123
READ DURATION: 108726, READ INSTS: 11525, LAST WRITE DURATION: 279, LAST WRITE INSTS: 33, R/W DURATION RATIO: 389.699
READ DURATION: 47241, READ INSTS: 4870, LAST WRITE DURATION: 165, LAST WRITE INSTS: 22, R/W DURATION RATIO: 286.309
READ DURATION: 47659, READ INSTS: 4966, LAST WRITE DURATION: 213, LAST WRITE INSTS: 30, R/W DURATION RATIO: 223.751
READ DURATION: 20838, READ INSTS: 2132, LAST WRITE DURATION: 166, LAST WRITE INSTS: 25, R/W DURATION RATIO: 125.53
READ DURATION: 24485, READ INSTS: 2563, LAST WRITE DURATION: 215, LAST WRITE INSTS: 31, R/W DURATION RATIO: 113.884
READ DURATION: 39642, READ INSTS: 4144, LAST WRITE DURATION: 159, LAST WRITE INSTS: 22, R/W DURATION RATIO: 249.321
READ DURATION: 43913, READ INSTS: 4675, LAST WRITE DURATION: 282, LAST WRITE INSTS: 33, R/W DURATION RATIO: 155.72
READ DURATION: 32373, READ INSTS: 3282, LAST WRITE DURATION: 304, LAST WRITE INSTS: 26, R/W DURATION RATIO: 106.49
