[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/tc_twitter_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 462461 instructions.
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 303, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.51155
READ DURATION: 401, READ INSTS: 46, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.83945
READ DURATION: 360, READ INSTS: 40, LAST WRITE DURATION: 306, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.17647
READ DURATION: 459, READ INSTS: 45, LAST WRITE DURATION: 1811, LAST WRITE INSTS: 21, R/W DURATION RATIO: 0.390306
WAITED CYCLES: 82
READ DURATION: 436, READ INSTS: 49, LAST WRITE DURATION: 284, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.53521
READ DURATION: 401, READ INSTS: 45, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.49627
READ DURATION: 455, READ INSTS: 51, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.54762
READ DURATION: 450, READ INSTS: 51, LAST WRITE DURATION: 221, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.0362
READ DURATION: 408, READ INSTS: 47, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.56923
READ DURATION: 439, READ INSTS: 49, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.59058
READ DURATION: 401, READ INSTS: 44, LAST WRITE DURATION: 318, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.26101
READ DURATION: 424, READ INSTS: 49, LAST WRITE DURATION: 297, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42761
READ DURATION: 393, READ INSTS: 44, LAST WRITE DURATION: 323, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.21672
READ DURATION: 417, READ INSTS: 45, LAST WRITE DURATION: 292, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.42808
READ DURATION: 450, READ INSTS: 51, LAST WRITE DURATION: 291, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.54639
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 248, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.67742
READ DURATION: 376, READ INSTS: 43, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.36232
READ DURATION: 396, READ INSTS: 44, LAST WRITE DURATION: 308, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.28571
READ DURATION: 1837, READ INSTS: 47, LAST WRITE DURATION: 298, LAST WRITE INSTS: 27, R/W DURATION RATIO: 6.16443
READ DURATION: 420, READ INSTS: 47, LAST WRITE DURATION: 376, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.11702
READ DURATION: 459, READ INSTS: 53, LAST WRITE DURATION: 280, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.63929
READ DURATION: 386, READ INSTS: 43, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.69298
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 300, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.41333
READ DURATION: 387, READ INSTS: 42, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.36268
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 311, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42122
READ DURATION: 426, READ INSTS: 49, LAST WRITE DURATION: 256, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.66406
READ DURATION: 524, READ INSTS: 53, LAST WRITE DURATION: 240, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.18333
READ DURATION: 407, READ INSTS: 43, LAST WRITE DURATION: 372, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.09409
READ DURATION: 409, READ INSTS: 45, LAST WRITE DURATION: 304, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.34539
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42466
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.65942
READ DURATION: 392, READ INSTS: 44, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.66102
READ DURATION: 474, READ INSTS: 49, LAST WRITE DURATION: 303, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.56436
READ DURATION: 392, READ INSTS: 44, LAST WRITE DURATION: 266, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47368
READ DURATION: 384, READ INSTS: 36, LAST WRITE DURATION: 1753, LAST WRITE INSTS: 21, R/W DURATION RATIO: 0.326531
WAITED CYCLES: 215
READ DURATION: 425, READ INSTS: 48, LAST WRITE DURATION: 364, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.16758
READ DURATION: 402, READ INSTS: 43, LAST WRITE DURATION: 297, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.35354
READ DURATION: 463, READ INSTS: 52, LAST WRITE DURATION: 297, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.55892
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 232, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.82759
READ DURATION: 412, READ INSTS: 47, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.49275
READ DURATION: 401, READ INSTS: 45, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44245
READ DURATION: 467, READ INSTS: 53, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.59932
READ DURATION: 356, READ INSTS: 39, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.5614
READ DURATION: 450, READ INSTS: 52, LAST WRITE DURATION: 320, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.40625
