[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/bc_road_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.85965
READ DURATION: 377, READ INSTS: 44, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.40672
READ DURATION: 437, READ INSTS: 49, LAST WRITE DURATION: 303, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44224
READ DURATION: 384, READ INSTS: 43, LAST WRITE DURATION: 1732, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.253968
WAITED CYCLES: 572
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 308, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.32468
READ DURATION: 434, READ INSTS: 49, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.52817
READ DURATION: 467, READ INSTS: 52, LAST WRITE DURATION: 263, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.77567
READ DURATION: 367, READ INSTS: 40, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.55508
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 330, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.28485
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 270, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.63704
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.65079
READ DURATION: 415, READ INSTS: 47, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.50362
READ DURATION: 416, READ INSTS: 48, LAST WRITE DURATION: 257, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61868
READ DURATION: 384, READ INSTS: 43, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.3913
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 310, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.34194
READ DURATION: 450, READ INSTS: 51, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61871
READ DURATION: 425, READ INSTS: 48, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.94954
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 287, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44948
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.52518
READ DURATION: 360, READ INSTS: 41, LAST WRITE DURATION: 1638, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.238095
WAITED CYCLES: 690
READ DURATION: 401, READ INSTS: 45, LAST WRITE DURATION: 324, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.23765
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.5034
READ DURATION: 399, READ INSTS: 44, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.83028
READ DURATION: 389, READ INSTS: 43, LAST WRITE DURATION: 327, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.1896
READ DURATION: 414, READ INSTS: 46, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.31013
READ DURATION: 426, READ INSTS: 49, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.48951
READ DURATION: 419, READ INSTS: 48, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61154
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 269, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.64312
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.68254
READ DURATION: 394, READ INSTS: 44, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47015
READ DURATION: 411, READ INSTS: 46, LAST WRITE DURATION: 303, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.35644
READ DURATION: 434, READ INSTS: 49, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.51748
READ DURATION: 382, READ INSTS: 43, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46923
READ DURATION: 450, READ INSTS: 51, LAST WRITE DURATION: 304, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.48026
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 248, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.70968
READ DURATION: 458, READ INSTS: 53, LAST WRITE DURATION: 1677, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.30291
WAITED CYCLES: 553
READ DURATION: 370, READ INSTS: 41, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.62281
READ DURATION: 418, READ INSTS: 48, LAST WRITE DURATION: 328, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.27439
READ DURATION: 421, READ INSTS: 47, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61923
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 287, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.50523
READ DURATION: 434, READ INSTS: 50, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.66923
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61905
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.51049
READ DURATION: 426, READ INSTS: 48, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.63846
READ DURATION: 392, READ INSTS: 45, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46269
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46939
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.63077
READ DURATION: 387, READ INSTS: 43, LAST WRITE DURATION: 270, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.43333
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 308, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.32468
READ DURATION: 443, READ INSTS: 50, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.60507
READ DURATION: 384, READ INSTS: 44, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.43284
READ DURATION: 412, READ INSTS: 43, LAST WRITE DURATION: 1648, LAST WRITE INSTS: 20, R/W DURATION RATIO: 0.367857
READ DURATION: 429, READ INSTS: 49, LAST WRITE DURATION: 305, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.40656
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 250, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.664
READ DURATION: 418, READ INSTS: 46, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47183
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 280, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.51429
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.52239
READ DURATION: 401, READ INSTS: 45, LAST WRITE DURATION: 287, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.39721
READ DURATION: 424, READ INSTS: 49, LAST WRITE DURATION: 285, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.48772
READ DURATION: 402, READ INSTS: 45, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.5
READ DURATION: 415, READ INSTS: 46, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.41156
READ DURATION: 360, READ INSTS: 43, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.25874
READ DURATION: 470, READ INSTS: 51, LAST WRITE DURATION: 278, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.69065
READ DURATION: 375, READ INSTS: 42, LAST WRITE DURATION: 244, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.53689
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 314, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.3758
READ DURATION: 402, READ INSTS: 46, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.54615
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.43662
READ DURATION: 411, READ INSTS: 46, LAST WRITE DURATION: 1785, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.271825
WAITED CYCLES: 492
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.51049
READ DURATION: 400, READ INSTS: 46, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53846
READ DURATION: 444, READ INSTS: 50, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.56338
READ DURATION: 387, READ INSTS: 45, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53571
READ DURATION: 393, READ INSTS: 46, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.33673
READ DURATION: 404, READ INSTS: 45, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42254
READ DURATION: 450, READ INSTS: 51, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53061
READ DURATION: 376, READ INSTS: 41, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.49206
READ DURATION: 461, READ INSTS: 52, LAST WRITE DURATION: 320, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44063
READ DURATION: 495, READ INSTS: 56, LAST WRITE DURATION: 215, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.30233
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.98165
READ DURATION: 440, READ INSTS: 50, LAST WRITE DURATION: 262, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.67939
READ DURATION: 440, READ INSTS: 50, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.86441
READ DURATION: 385, READ INSTS: 43, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.43657
READ DURATION: 1823, READ INSTS: 46, LAST WRITE DURATION: 309, LAST WRITE INSTS: 27, R/W DURATION RATIO: 5.89968
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 293, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.56314
READ DURATION: 450, READ INSTS: 52, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.97368
READ DURATION: 414, READ INSTS: 44, LAST WRITE DURATION: 244, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.69672
READ DURATION: 435, READ INSTS: 51, LAST WRITE DURATION: 273, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.59341
READ DURATION: 422, READ INSTS: 47, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.57463
READ DURATION: 419, READ INSTS: 48, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47535
READ DURATION: 434, READ INSTS: 50, LAST WRITE DURATION: 269, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61338
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.81746
READ DURATION: 448, READ INSTS: 52, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.89831
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.94068
READ DURATION: 403, READ INSTS: 45, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.76754
READ DURATION: 458, READ INSTS: 53, LAST WRITE DURATION: 283, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61837
READ DURATION: 444, READ INSTS: 51, LAST WRITE DURATION: 314, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.41401
READ DURATION: 392, READ INSTS: 44, LAST WRITE DURATION: 248, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.58065
READ DURATION: 474, READ INSTS: 48, LAST WRITE DURATION: 286, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.65734
READ DURATION: 1815, READ INSTS: 47, LAST WRITE DURATION: 258, LAST WRITE INSTS: 27, R/W DURATION RATIO: 7.03488
READ DURATION: 419, READ INSTS: 47, LAST WRITE DURATION: 274, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.5292
READ DURATION: 396, READ INSTS: 44, LAST WRITE DURATION: 289, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.37024
READ DURATION: 464, READ INSTS: 54, LAST WRITE DURATION: 289, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.60554
READ DURATION: 447, READ INSTS: 50, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.89407
READ DURATION: 434, READ INSTS: 49, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.72222
READ DURATION: 411, READ INSTS: 47, LAST WRITE DURATION: 264, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.55682
READ DURATION: 409, READ INSTS: 47, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47122
READ DURATION: 454, READ INSTS: 51, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.64493
