[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/cactuBSSN.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 2008, READ INSTS: 235, LAST WRITE DURATION: 363, LAST WRITE INSTS: 30, R/W DURATION RATIO: 5.53168
READ DURATION: 3178, READ INSTS: 295, LAST WRITE DURATION: 306, LAST WRITE INSTS: 25, R/W DURATION RATIO: 10.3856
READ DURATION: 5128, READ INSTS: 272, LAST WRITE DURATION: 232, LAST WRITE INSTS: 30, R/W DURATION RATIO: 22.1034
READ DURATION: 3432, READ INSTS: 253, LAST WRITE DURATION: 202, LAST WRITE INSTS: 25, R/W DURATION RATIO: 16.9901
READ DURATION: 3416, READ INSTS: 239, LAST WRITE DURATION: 207, LAST WRITE INSTS: 29, R/W DURATION RATIO: 16.5024
READ DURATION: 505, READ INSTS: 44, LAST WRITE DURATION: 199, LAST WRITE INSTS: 22, R/W DURATION RATIO: 2.53769
READ DURATION: 451, READ INSTS: 52, LAST WRITE DURATION: 262, LAST WRITE INSTS: 39, R/W DURATION RATIO: 1.72137
READ DURATION: 400, READ INSTS: 45, LAST WRITE DURATION: 270, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.48148
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44218
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.64925
READ DURATION: 433, READ INSTS: 45, LAST WRITE DURATION: 1695, LAST WRITE INSTS: 23, R/W DURATION RATIO: 0.33618
WAITED CYCLES: 162
READ DURATION: 396, READ INSTS: 44, LAST WRITE DURATION: 289, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.37024
READ DURATION: 376, READ INSTS: 41, LAST WRITE DURATION: 301, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.24917
READ DURATION: 364, READ INSTS: 42, LAST WRITE DURATION: 320, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.1375
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 314, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.40764
READ DURATION: 400, READ INSTS: 45, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.5873
READ DURATION: 460, READ INSTS: 52, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.57534
READ DURATION: 212, READ INSTS: 21, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.898305
READ DURATION: 2316, READ INSTS: 142, LAST WRITE DURATION: 267, LAST WRITE INSTS: 25, R/W DURATION RATIO: 8.67416
READ DURATION: 2321, READ INSTS: 124, LAST WRITE DURATION: 289, LAST WRITE INSTS: 31, R/W DURATION RATIO: 8.03114
READ DURATION: 2465, READ INSTS: 107, LAST WRITE DURATION: 313, LAST WRITE INSTS: 24, R/W DURATION RATIO: 7.8754
READ DURATION: 1902, READ INSTS: 116, LAST WRITE DURATION: 317, LAST WRITE INSTS: 29, R/W DURATION RATIO: 6
READ DURATION: 2307, READ INSTS: 180, LAST WRITE DURATION: 273, LAST WRITE INSTS: 20, R/W DURATION RATIO: 8.45055
READ DURATION: 2284, READ INSTS: 122, LAST WRITE DURATION: 183, LAST WRITE INSTS: 29, R/W DURATION RATIO: 12.4809
READ DURATION: 2494, READ INSTS: 273, LAST WRITE DURATION: 244, LAST WRITE INSTS: 36, R/W DURATION RATIO: 10.2213
READ DURATION: 3283, READ INSTS: 200, LAST WRITE DURATION: 226, LAST WRITE INSTS: 28, R/W DURATION RATIO: 14.5265
READ DURATION: 2019, READ INSTS: 201, LAST WRITE DURATION: 277, LAST WRITE INSTS: 29, R/W DURATION RATIO: 7.28881
READ DURATION: 1846, READ INSTS: 183, LAST WRITE DURATION: 306, LAST WRITE INSTS: 27, R/W DURATION RATIO: 6.03268
READ DURATION: 445, READ INSTS: 44, LAST WRITE DURATION: 385, LAST WRITE INSTS: 51, R/W DURATION RATIO: 1.15584
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 287, LAST WRITE INSTS: 32, R/W DURATION RATIO: 1.50523
READ DURATION: 415, READ INSTS: 45, LAST WRITE DURATION: 262, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.58397
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 290, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.48966
READ DURATION: 380, READ INSTS: 42, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46154
READ DURATION: 470, READ INSTS: 47, LAST WRITE DURATION: 317, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.48265
READ DURATION: 1764, READ INSTS: 40, LAST WRITE DURATION: 340, LAST WRITE INSTS: 27, R/W DURATION RATIO: 5.18824
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 320, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.275
READ DURATION: 376, READ INSTS: 42, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.28767
READ DURATION: 434, READ INSTS: 49, LAST WRITE DURATION: 318, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.36478
READ DURATION: 388, READ INSTS: 43, LAST WRITE DURATION: 262, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.48092
READ DURATION: 2420, READ INSTS: 280, LAST WRITE DURATION: 298, LAST WRITE INSTS: 27, R/W DURATION RATIO: 8.12081
READ DURATION: 4482, READ INSTS: 523, LAST WRITE DURATION: 298, LAST WRITE INSTS: 27, R/W DURATION RATIO: 15.0403
READ DURATION: 5005, READ INSTS: 298, LAST WRITE DURATION: 334, LAST WRITE INSTS: 26, R/W DURATION RATIO: 14.985
READ DURATION: 2268, READ INSTS: 134, LAST WRITE DURATION: 250, LAST WRITE INSTS: 27, R/W DURATION RATIO: 9.072
READ DURATION: 2839, READ INSTS: 151, LAST WRITE DURATION: 215, LAST WRITE INSTS: 29, R/W DURATION RATIO: 13.2047
READ DURATION: 2060, READ INSTS: 127, LAST WRITE DURATION: 225, LAST WRITE INSTS: 37, R/W DURATION RATIO: 9.15556
READ DURATION: 1253, READ INSTS: 129, LAST WRITE DURATION: 1523, LAST WRITE INSTS: 34, R/W DURATION RATIO: 0.822718
READ DURATION: 2869, READ INSTS: 189, LAST WRITE DURATION: 410, LAST WRITE INSTS: 32, R/W DURATION RATIO: 6.99756
READ DURATION: 2178, READ INSTS: 216, LAST WRITE DURATION: 256, LAST WRITE INSTS: 33, R/W DURATION RATIO: 8.50781
READ DURATION: 2015, READ INSTS: 200, LAST WRITE DURATION: 187, LAST WRITE INSTS: 24, R/W DURATION RATIO: 10.7754
READ DURATION: 3302, READ INSTS: 202, LAST WRITE DURATION: 256, LAST WRITE INSTS: 25, R/W DURATION RATIO: 12.8984
READ DURATION: 1973, READ INSTS: 183, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 7.58846
READ DURATION: 422, READ INSTS: 38, LAST WRITE DURATION: 298, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.41611
READ DURATION: 507, READ INSTS: 49, LAST WRITE DURATION: 211, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.40284
READ DURATION: 461, READ INSTS: 55, LAST WRITE DURATION: 252, LAST WRITE INSTS: 37, R/W DURATION RATIO: 1.82937
READ DURATION: 556, READ INSTS: 55, LAST WRITE DURATION: 178, LAST WRITE INSTS: 22, R/W DURATION RATIO: 3.1236
READ DURATION: 510, READ INSTS: 49, LAST WRITE DURATION: 290, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.75862
READ DURATION: 498, READ INSTS: 45, LAST WRITE DURATION: 259, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.92278
READ DURATION: 496, READ INSTS: 45, LAST WRITE DURATION: 248, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2
READ DURATION: 554, READ INSTS: 51, LAST WRITE DURATION: 291, LAST WRITE INSTS: 21, R/W DURATION RATIO: 1.90378
READ DURATION: 501, READ INSTS: 44, LAST WRITE DURATION: 230, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.17826
READ DURATION: 555, READ INSTS: 53, LAST WRITE DURATION: 261, LAST WRITE INSTS: 31, R/W DURATION RATIO: 2.12644
READ DURATION: 1974, READ INSTS: 58, LAST WRITE DURATION: 331, LAST WRITE INSTS: 36, R/W DURATION RATIO: 5.96375
READ DURATION: 393, READ INSTS: 34, LAST WRITE DURATION: 250, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.572
READ DURATION: 230, READ INSTS: 14, LAST WRITE DURATION: 265, LAST WRITE INSTS: 28, R/W DURATION RATIO: 0.867925
READ DURATION: 241, READ INSTS: 21, LAST WRITE DURATION: 324, LAST WRITE INSTS: 36, R/W DURATION RATIO: 0.743827
WAITED CYCLES: 11
READ DURATION: 209, READ INSTS: 22, LAST WRITE DURATION: 266, LAST WRITE INSTS: 28, R/W DURATION RATIO: 0.785714
READ DURATION: 240, READ INSTS: 25, LAST WRITE DURATION: 270, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.888889
READ DURATION: 248, READ INSTS: 26, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.05085
READ DURATION: 226, READ INSTS: 24, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.991228
READ DURATION: 240, READ INSTS: 25, LAST WRITE DURATION: 226, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.06195
READ DURATION: 250, READ INSTS: 26, LAST WRITE DURATION: 244, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.02459
READ DURATION: 228, READ INSTS: 23, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.966102
READ DURATION: 248, READ INSTS: 26, LAST WRITE DURATION: 216, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.14815
READ DURATION: 240, READ INSTS: 25, LAST WRITE DURATION: 262, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.916031
READ DURATION: 256, READ INSTS: 27, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.08475
READ DURATION: 240, READ INSTS: 27, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.10092
READ DURATION: 256, READ INSTS: 27, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.17431
READ DURATION: 256, READ INSTS: 27, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.17431
READ DURATION: 256, READ INSTS: 27, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.17431
READ DURATION: 256, READ INSTS: 27, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.17431
READ DURATION: 737, READ INSTS: 86, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 3.38073
READ DURATION: 3251, READ INSTS: 208, LAST WRITE DURATION: 244, LAST WRITE INSTS: 31, R/W DURATION RATIO: 13.3238
READ DURATION: 2399, READ INSTS: 241, LAST WRITE DURATION: 172, LAST WRITE INSTS: 17, R/W DURATION RATIO: 13.9477
READ DURATION: 2036, READ INSTS: 199, LAST WRITE DURATION: 218, LAST WRITE INSTS: 32, R/W DURATION RATIO: 9.33945
READ DURATION: 1928, READ INSTS: 195, LAST WRITE DURATION: 263, LAST WRITE INSTS: 29, R/W DURATION RATIO: 7.3308
READ DURATION: 683, READ INSTS: 70, LAST WRITE DURATION: 235, LAST WRITE INSTS: 33, R/W DURATION RATIO: 2.90638
READ DURATION: 627, READ INSTS: 72, LAST WRITE DURATION: 294, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.13265
READ DURATION: 517, READ INSTS: 60, LAST WRITE DURATION: 312, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.65705
READ DURATION: 655, READ INSTS: 70, LAST WRITE DURATION: 1803, LAST WRITE INSTS: 26, R/W DURATION RATIO: 0.449863
WAITED CYCLES: 130
READ DURATION: 689, READ INSTS: 80, LAST WRITE DURATION: 311, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.21543
READ DURATION: 595, READ INSTS: 68, LAST WRITE DURATION: 214, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.78037
READ DURATION: 600, READ INSTS: 70, LAST WRITE DURATION: 333, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.8018
READ DURATION: 661, READ INSTS: 77, LAST WRITE DURATION: 310, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.13226
READ DURATION: 576, READ INSTS: 67, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.28571
READ DURATION: 452, READ INSTS: 51, LAST WRITE DURATION: 332, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.36145
READ DURATION: 1195, READ INSTS: 127, LAST WRITE DURATION: 259, LAST WRITE INSTS: 23, R/W DURATION RATIO: 4.6139
READ DURATION: 5945, READ INSTS: 522, LAST WRITE DURATION: 242, LAST WRITE INSTS: 28, R/W DURATION RATIO: 24.5661
READ DURATION: 1618, READ INSTS: 180, LAST WRITE DURATION: 287, LAST WRITE INSTS: 24, R/W DURATION RATIO: 5.63763
READ DURATION: 358, READ INSTS: 25, LAST WRITE DURATION: 311, LAST WRITE INSTS: 23, R/W DURATION RATIO: 1.15113
READ DURATION: 302, READ INSTS: 23, LAST WRITE DURATION: 321, LAST WRITE INSTS: 32, R/W DURATION RATIO: 0.94081
READ DURATION: 362, READ INSTS: 40, LAST WRITE DURATION: 271, LAST WRITE INSTS: 36, R/W DURATION RATIO: 1.33579
