[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/cc_road_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 412, READ INSTS: 45, LAST WRITE DURATION: 220, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.87273
READ DURATION: 440, READ INSTS: 50, LAST WRITE DURATION: 300, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46667
READ DURATION: 441, READ INSTS: 48, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.75
READ DURATION: 434, READ INSTS: 50, LAST WRITE DURATION: 1750, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.287037
WAITED CYCLES: 504
READ DURATION: 400, READ INSTS: 46, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.5873
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61268
READ DURATION: 426, READ INSTS: 46, LAST WRITE DURATION: 262, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.62595
READ DURATION: 352, READ INSTS: 38, LAST WRITE DURATION: 285, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.23509
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 345, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.22899
READ DURATION: 474, READ INSTS: 54, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.76866
READ DURATION: 383, READ INSTS: 42, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.75688
READ DURATION: 435, READ INSTS: 50, LAST WRITE DURATION: 321, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.35514
READ DURATION: 409, READ INSTS: 46, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.62302
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.6014
READ DURATION: 386, READ INSTS: 43, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.63559
READ DURATION: 428, READ INSTS: 49, LAST WRITE DURATION: 312, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.37179
READ DURATION: 408, READ INSTS: 45, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.56923
READ DURATION: 407, READ INSTS: 44, LAST WRITE DURATION: 263, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.54753
READ DURATION: 1804, READ INSTS: 44, LAST WRITE DURATION: 328, LAST WRITE INSTS: 27, R/W DURATION RATIO: 5.5
READ DURATION: 451, READ INSTS: 51, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.73462
READ DURATION: 392, READ INSTS: 44, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.38028
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 300, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44
READ DURATION: 468, READ INSTS: 53, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.8
READ DURATION: 394, READ INSTS: 44, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.66949
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 300, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.38667
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.52518
READ DURATION: 463, READ INSTS: 44, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.72761
READ DURATION: 385, READ INSTS: 42, LAST WRITE DURATION: 290, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.32759
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 322, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.31677
READ DURATION: 416, READ INSTS: 48, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.55224
READ DURATION: 426, READ INSTS: 50, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.58955
READ DURATION: 438, READ INSTS: 49, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.7381
READ DURATION: 404, READ INSTS: 45, LAST WRITE DURATION: 262, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.54198
READ DURATION: 384, READ INSTS: 43, LAST WRITE DURATION: 296, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.2973
READ DURATION: 1796, READ INSTS: 44, LAST WRITE DURATION: 310, LAST WRITE INSTS: 27, R/W DURATION RATIO: 5.79355
READ DURATION: 413, READ INSTS: 46, LAST WRITE DURATION: 300, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.37667
READ DURATION: 402, READ INSTS: 44, LAST WRITE DURATION: 284, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.41549
READ DURATION: 397, READ INSTS: 44, LAST WRITE DURATION: 300, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.32333
READ DURATION: 454, READ INSTS: 51, LAST WRITE DURATION: 300, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.51333
READ DURATION: 395, READ INSTS: 45, LAST WRITE DURATION: 258, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53101
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 303, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.45875
READ DURATION: 426, READ INSTS: 48, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.69048
READ DURATION: 417, READ INSTS: 45, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.55597
READ DURATION: 443, READ INSTS: 49, LAST WRITE DURATION: 295, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.50169
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.29114
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61268
READ DURATION: 410, READ INSTS: 46, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.73729
READ DURATION: 461, READ INSTS: 52, LAST WRITE DURATION: 287, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.60627
READ DURATION: 456, READ INSTS: 51, LAST WRITE DURATION: 309, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47573
READ DURATION: 474, READ INSTS: 55, LAST WRITE DURATION: 230, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.06087
READ DURATION: 420, READ INSTS: 41, LAST WRITE DURATION: 1711, LAST WRITE INSTS: 21, R/W DURATION RATIO: 0.357143
READ DURATION: 422, READ INSTS: 47, LAST WRITE DURATION: 323, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.3065
READ DURATION: 394, READ INSTS: 44, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42754
READ DURATION: 395, READ INSTS: 45, LAST WRITE DURATION: 303, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.30363
READ DURATION: 466, READ INSTS: 53, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.59589
READ DURATION: 404, READ INSTS: 45, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.77193
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.5034
READ DURATION: 452, READ INSTS: 51, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.79365
READ DURATION: 419, READ INSTS: 47, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.77542
READ DURATION: 466, READ INSTS: 53, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.64085
READ DURATION: 391, READ INSTS: 43, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.71491
READ DURATION: 388, READ INSTS: 43, LAST WRITE DURATION: 318, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.22013
READ DURATION: 416, READ INSTS: 48, LAST WRITE DURATION: 309, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.34628
READ DURATION: 384, READ INSTS: 43, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.43284
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 310, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42581
READ DURATION: 428, READ INSTS: 47, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.69841
READ DURATION: 368, READ INSTS: 41, LAST WRITE DURATION: 1653, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.243386
WAITED CYCLES: 667
READ DURATION: 376, READ INSTS: 42, LAST WRITE DURATION: 324, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.16049
READ DURATION: 440, READ INSTS: 50, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.39241
READ DURATION: 387, READ INSTS: 44, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53571
READ DURATION: 362, READ INSTS: 40, LAST WRITE DURATION: 305, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.18689
READ DURATION: 416, READ INSTS: 48, LAST WRITE DURATION: 334, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.24551
READ DURATION: 432, READ INSTS: 48, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61194
READ DURATION: 349, READ INSTS: 39, LAST WRITE DURATION: 282, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.23759
READ DURATION: 434, READ INSTS: 50, LAST WRITE DURATION: 342, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.26901
READ DURATION: 404, READ INSTS: 46, LAST WRITE DURATION: 253, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.59684
READ DURATION: 417, READ INSTS: 47, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46831
READ DURATION: 418, READ INSTS: 47, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.51449
READ DURATION: 418, READ INSTS: 48, LAST WRITE DURATION: 339, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.23304
READ DURATION: 427, READ INSTS: 49, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.59328
READ DURATION: 372, READ INSTS: 41, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.43077
READ DURATION: 1842, READ INSTS: 48, LAST WRITE DURATION: 325, LAST WRITE INSTS: 27, R/W DURATION RATIO: 5.66769
READ DURATION: 416, READ INSTS: 46, LAST WRITE DURATION: 263, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.58175
READ DURATION: 368, READ INSTS: 42, LAST WRITE DURATION: 293, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.25597
READ DURATION: 426, READ INSTS: 48, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.3481
READ DURATION: 381, READ INSTS: 42, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.34155
READ DURATION: 381, READ INSTS: 41, LAST WRITE DURATION: 318, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.19811
READ DURATION: 411, READ INSTS: 46, LAST WRITE DURATION: 326, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.26074
READ DURATION: 424, READ INSTS: 49, LAST WRITE DURATION: 283, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.49823
READ DURATION: 370, READ INSTS: 42, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42308
READ DURATION: 435, READ INSTS: 48, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.37658
READ DURATION: 440, READ INSTS: 50, LAST WRITE DURATION: 223, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.97309
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42466
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47826
READ DURATION: 410, READ INSTS: 46, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.52985
READ DURATION: 403, READ INSTS: 45, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.37075
READ DURATION: 392, READ INSTS: 45, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.34247
READ DURATION: 1828, READ INSTS: 46, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 6.21769
READ DURATION: 466, READ INSTS: 53, LAST WRITE DURATION: 263, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.77186
READ DURATION: 402, READ INSTS: 46, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.70339
READ DURATION: 392, READ INSTS: 44, LAST WRITE DURATION: 288, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.36111
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 300, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.41333
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.70896
READ DURATION: 414, READ INSTS: 46, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.64286
