[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/fotonik3d.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 354, READ INSTS: 35, LAST WRITE DURATION: 273, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.2967
READ DURATION: 392, READ INSTS: 37, LAST WRITE DURATION: 238, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.64706
READ DURATION: 375, READ INSTS: 35, LAST WRITE DURATION: 1767, LAST WRITE INSTS: 29, R/W DURATION RATIO: 0.230911
WAITED CYCLES: 745
READ DURATION: 500, READ INSTS: 43, LAST WRITE DURATION: 203, LAST WRITE INSTS: 19, R/W DURATION RATIO: 2.46305
READ DURATION: 377, READ INSTS: 39, LAST WRITE DURATION: 251, LAST WRITE INSTS: 38, R/W DURATION RATIO: 1.50199
READ DURATION: 426, READ INSTS: 38, LAST WRITE DURATION: 260, LAST WRITE INSTS: 21, R/W DURATION RATIO: 1.63846
READ DURATION: 377, READ INSTS: 35, LAST WRITE DURATION: 270, LAST WRITE INSTS: 32, R/W DURATION RATIO: 1.3963
READ DURATION: 461, READ INSTS: 53, LAST WRITE DURATION: 341, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.35191
READ DURATION: 428, READ INSTS: 37, LAST WRITE DURATION: 193, LAST WRITE INSTS: 16, R/W DURATION RATIO: 2.21762
READ DURATION: 413, READ INSTS: 39, LAST WRITE DURATION: 248, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.66532
READ DURATION: 355, READ INSTS: 36, LAST WRITE DURATION: 278, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.27698
READ DURATION: 638, READ INSTS: 71, LAST WRITE DURATION: 254, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.51181
READ DURATION: 813, READ INSTS: 87, LAST WRITE DURATION: 237, LAST WRITE INSTS: 23, R/W DURATION RATIO: 3.43038
