[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/lbm.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 404, READ INSTS: 33, LAST WRITE DURATION: 142, LAST WRITE INSTS: 15, R/W DURATION RATIO: 2.84507
READ DURATION: 343, READ INSTS: 36, LAST WRITE DURATION: 210, LAST WRITE INSTS: 38, R/W DURATION RATIO: 1.63333
READ DURATION: 380, READ INSTS: 36, LAST WRITE DURATION: 260, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.46154
READ DURATION: 240, READ INSTS: 23, LAST WRITE DURATION: 212, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.13208
READ DURATION: 1686, READ INSTS: 27, LAST WRITE DURATION: 297, LAST WRITE INSTS: 28, R/W DURATION RATIO: 5.67677
READ DURATION: 270, READ INSTS: 27, LAST WRITE DURATION: 278, LAST WRITE INSTS: 26, R/W DURATION RATIO: 0.971223
READ DURATION: 304, READ INSTS: 31, LAST WRITE DURATION: 268, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.13433
READ DURATION: 291, READ INSTS: 32, LAST WRITE DURATION: 269, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.08178
READ DURATION: 250, READ INSTS: 30, LAST WRITE DURATION: 263, LAST WRITE INSTS: 26, R/W DURATION RATIO: 0.95057
READ DURATION: 309, READ INSTS: 32, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.22619
READ DURATION: 366, READ INSTS: 35, LAST WRITE DURATION: 217, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.68664
READ DURATION: 323, READ INSTS: 35, LAST WRITE DURATION: 305, LAST WRITE INSTS: 32, R/W DURATION RATIO: 1.05902
READ DURATION: 289, READ INSTS: 30, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.22458
READ DURATION: 337, READ INSTS: 29, LAST WRITE DURATION: 279, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.20789
READ DURATION: 195, READ INSTS: 23, LAST WRITE DURATION: 285, LAST WRITE INSTS: 30, R/W DURATION RATIO: 0.684211
WAITED CYCLES: 26
READ DURATION: 346, READ INSTS: 32, LAST WRITE DURATION: 328, LAST WRITE INSTS: 23, R/W DURATION RATIO: 1.05488
READ DURATION: 364, READ INSTS: 40, LAST WRITE DURATION: 224, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.625
READ DURATION: 282, READ INSTS: 30, LAST WRITE DURATION: 220, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.28182
READ DURATION: 256, READ INSTS: 26, LAST WRITE DURATION: 269, LAST WRITE INSTS: 26, R/W DURATION RATIO: 0.951673
READ DURATION: 287, READ INSTS: 30, LAST WRITE DURATION: 274, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.04745
READ DURATION: 318, READ INSTS: 37, LAST WRITE DURATION: 220, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.44545
READ DURATION: 277, READ INSTS: 28, LAST WRITE DURATION: 254, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.09055
READ DURATION: 312, READ INSTS: 33, LAST WRITE DURATION: 299, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.04348
READ DURATION: 302, READ INSTS: 31, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.27966
READ DURATION: 243, READ INSTS: 21, LAST WRITE DURATION: 1758, LAST WRITE INSTS: 25, R/W DURATION RATIO: 0.173571
WAITED CYCLES: 488
READ DURATION: 313, READ INSTS: 29, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.990506
READ DURATION: 306, READ INSTS: 31, LAST WRITE DURATION: 257, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.19066
READ DURATION: 296, READ INSTS: 28, LAST WRITE DURATION: 255, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.16078
