[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/parest.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 230, READ INSTS: 23, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.833333
READ DURATION: 228, READ INSTS: 24, LAST WRITE DURATION: 276, LAST WRITE INSTS: 26, R/W DURATION RATIO: 0.826087
READ DURATION: 292, READ INSTS: 29, LAST WRITE DURATION: 292, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1
READ DURATION: 286, READ INSTS: 32, LAST WRITE DURATION: 218, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.31193
READ DURATION: 315, READ INSTS: 25, LAST WRITE DURATION: 158, LAST WRITE INSTS: 18, R/W DURATION RATIO: 1.99367
READ DURATION: 259, READ INSTS: 28, LAST WRITE DURATION: 276, LAST WRITE INSTS: 36, R/W DURATION RATIO: 0.938406
READ DURATION: 303, READ INSTS: 28, LAST WRITE DURATION: 230, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.31739
READ DURATION: 227, READ INSTS: 23, LAST WRITE DURATION: 320, LAST WRITE INSTS: 29, R/W DURATION RATIO: 0.709375
WAITED CYCLES: 21
READ DURATION: 1644, READ INSTS: 17, LAST WRITE DURATION: 264, LAST WRITE INSTS: 26, R/W DURATION RATIO: 6.22727
READ DURATION: 287, READ INSTS: 24, LAST WRITE DURATION: 263, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.09125
READ DURATION: 214, READ INSTS: 17, LAST WRITE DURATION: 256, LAST WRITE INSTS: 29, R/W DURATION RATIO: 0.835938
READ DURATION: 266, READ INSTS: 21, LAST WRITE DURATION: 262, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.01527
READ DURATION: 324, READ INSTS: 27, LAST WRITE DURATION: 233, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.39056
READ DURATION: 305, READ INSTS: 35, LAST WRITE DURATION: 286, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.06643
READ DURATION: 447, READ INSTS: 46, LAST WRITE DURATION: 280, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.59643
READ DURATION: 5406, READ INSTS: 646, LAST WRITE DURATION: 298, LAST WRITE INSTS: 28, R/W DURATION RATIO: 18.1409
READ DURATION: 3063, READ INSTS: 184, LAST WRITE DURATION: 216, LAST WRITE INSTS: 17, R/W DURATION RATIO: 14.1806
READ DURATION: 190, READ INSTS: 9, LAST WRITE DURATION: 293, LAST WRITE INSTS: 32, R/W DURATION RATIO: 0.648464
WAITED CYCLES: 37
READ DURATION: 304, READ INSTS: 23, LAST WRITE DURATION: 304, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1
READ DURATION: 210, READ INSTS: 17, LAST WRITE DURATION: 291, LAST WRITE INSTS: 38, R/W DURATION RATIO: 0.721649
WAITED CYCLES: 16
READ DURATION: 220, READ INSTS: 22, LAST WRITE DURATION: 293, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.750853
WAITED CYCLES: 7
READ DURATION: 232, READ INSTS: 18, LAST WRITE DURATION: 341, LAST WRITE INSTS: 32, R/W DURATION RATIO: 0.680352
WAITED CYCLES: 33
READ DURATION: 278, READ INSTS: 27, LAST WRITE DURATION: 293, LAST WRITE INSTS: 28, R/W DURATION RATIO: 0.948805
READ DURATION: 287, READ INSTS: 30, LAST WRITE DURATION: 277, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.0361
READ DURATION: 280, READ INSTS: 28, LAST WRITE DURATION: 287, LAST WRITE INSTS: 33, R/W DURATION RATIO: 0.97561
READ DURATION: 325, READ INSTS: 34, LAST WRITE DURATION: 215, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.51163
READ DURATION: 282, READ INSTS: 29, LAST WRITE DURATION: 316, LAST WRITE INSTS: 37, R/W DURATION RATIO: 0.892405
READ DURATION: 363, READ INSTS: 34, LAST WRITE DURATION: 284, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.27817
READ DURATION: 406, READ INSTS: 39, LAST WRITE DURATION: 256, LAST WRITE INSTS: 35, R/W DURATION RATIO: 1.58594
READ DURATION: 296, READ INSTS: 29, LAST WRITE DURATION: 324, LAST WRITE INSTS: 39, R/W DURATION RATIO: 0.91358
READ DURATION: 302, READ INSTS: 25, LAST WRITE DURATION: 135, LAST WRITE INSTS: 19, R/W DURATION RATIO: 2.23704
READ DURATION: 392, READ INSTS: 39, LAST WRITE DURATION: 303, LAST WRITE INSTS: 40, R/W DURATION RATIO: 1.29373
READ DURATION: 998, READ INSTS: 113, LAST WRITE DURATION: 269, LAST WRITE INSTS: 30, R/W DURATION RATIO: 3.71004
READ DURATION: 4133, READ INSTS: 331, LAST WRITE DURATION: 319, LAST WRITE INSTS: 27, R/W DURATION RATIO: 12.9561
READ DURATION: 3905, READ INSTS: 458, LAST WRITE DURATION: 140, LAST WRITE INSTS: 15, R/W DURATION RATIO: 27.8929
READ DURATION: 345, READ INSTS: 28, LAST WRITE DURATION: 260, LAST WRITE INSTS: 38, R/W DURATION RATIO: 1.32692
READ DURATION: 456, READ INSTS: 36, LAST WRITE DURATION: 142, LAST WRITE INSTS: 22, R/W DURATION RATIO: 3.21127
READ DURATION: 304, READ INSTS: 24, LAST WRITE DURATION: 409, LAST WRITE INSTS: 53, R/W DURATION RATIO: 0.743276
WAITED CYCLES: 14
READ DURATION: 351, READ INSTS: 35, LAST WRITE DURATION: 395, LAST WRITE INSTS: 41, R/W DURATION RATIO: 0.888608
READ DURATION: 369, READ INSTS: 36, LAST WRITE DURATION: 360, LAST WRITE INSTS: 37, R/W DURATION RATIO: 1.025
READ DURATION: 1372, READ INSTS: 159, LAST WRITE DURATION: 301, LAST WRITE INSTS: 33, R/W DURATION RATIO: 4.55814
READ DURATION: 1323, READ INSTS: 154, LAST WRITE DURATION: 1675, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.07386
READ DURATION: 810, READ INSTS: 97, LAST WRITE DURATION: 222, LAST WRITE INSTS: 35, R/W DURATION RATIO: 3.64865
READ DURATION: 344, READ INSTS: 38, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.57798
READ DURATION: 37519, READ INSTS: 4098, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 172.106
READ DURATION: 9417, READ INSTS: 972, LAST WRITE DURATION: 373, LAST WRITE INSTS: 26, R/W DURATION RATIO: 25.2466
READ DURATION: 6121, READ INSTS: 730, LAST WRITE DURATION: 183, LAST WRITE INSTS: 12, R/W DURATION RATIO: 33.4481
READ DURATION: 20992, READ INSTS: 2229, LAST WRITE DURATION: 286, LAST WRITE INSTS: 36, R/W DURATION RATIO: 73.3986
READ DURATION: 1048, READ INSTS: 124, LAST WRITE DURATION: 342, LAST WRITE INSTS: 33, R/W DURATION RATIO: 3.06433
READ DURATION: 809, READ INSTS: 95, LAST WRITE DURATION: 401, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.01746
READ DURATION: 22483, READ INSTS: 2431, LAST WRITE DURATION: 280, LAST WRITE INSTS: 27, R/W DURATION RATIO: 80.2964
READ DURATION: 12155, READ INSTS: 1300, LAST WRITE DURATION: 154, LAST WRITE INSTS: 14, R/W DURATION RATIO: 78.9286
READ DURATION: 4901, READ INSTS: 590, LAST WRITE DURATION: 182, LAST WRITE INSTS: 31, R/W DURATION RATIO: 26.9286
READ DURATION: 53424, READ INSTS: 5657, LAST WRITE DURATION: 250, LAST WRITE INSTS: 31, R/W DURATION RATIO: 213.696
READ DURATION: 56641, READ INSTS: 6269, LAST WRITE DURATION: 183, LAST WRITE INSTS: 23, R/W DURATION RATIO: 309.514
READ DURATION: 23543, READ INSTS: 2539, LAST WRITE DURATION: 275, LAST WRITE INSTS: 36, R/W DURATION RATIO: 85.6109
READ DURATION: 7185, READ INSTS: 691, LAST WRITE DURATION: 198, LAST WRITE INSTS: 18, R/W DURATION RATIO: 36.2879
READ DURATION: 13836, READ INSTS: 1532, LAST WRITE DURATION: 205, LAST WRITE INSTS: 31, R/W DURATION RATIO: 67.4927
READ DURATION: 3641, READ INSTS: 445, LAST WRITE DURATION: 282, LAST WRITE INSTS: 31, R/W DURATION RATIO: 12.9113
READ DURATION: 1600, READ INSTS: 192, LAST WRITE DURATION: 240, LAST WRITE INSTS: 29, R/W DURATION RATIO: 6.66667
READ DURATION: 5873, READ INSTS: 556, LAST WRITE DURATION: 240, LAST WRITE INSTS: 24, R/W DURATION RATIO: 24.4708
READ DURATION: 444, READ INSTS: 37, LAST WRITE DURATION: 156, LAST WRITE INSTS: 15, R/W DURATION RATIO: 2.84615
