[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/tc_road_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 415, READ INSTS: 45, LAST WRITE DURATION: 270, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53704
READ DURATION: 425, READ INSTS: 47, LAST WRITE DURATION: 290, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46552
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.58993
READ DURATION: 440, READ INSTS: 50, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.74603
READ DURATION: 381, READ INSTS: 42, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.5119
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 315, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.34603
READ DURATION: 450, READ INSTS: 52, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.6791
READ DURATION: 478, READ INSTS: 50, LAST WRITE DURATION: 1679, LAST WRITE INSTS: 24, R/W DURATION RATIO: 0.355655
WAITED CYCLES: 232
READ DURATION: 442, READ INSTS: 45, LAST WRITE DURATION: 252, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.75397
READ DURATION: 417, READ INSTS: 46, LAST WRITE DURATION: 293, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42321
READ DURATION: 404, READ INSTS: 45, LAST WRITE DURATION: 344, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.17442
READ DURATION: 420, READ INSTS: 47, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.52174
READ DURATION: 396, READ INSTS: 44, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42446
READ DURATION: 436, READ INSTS: 49, LAST WRITE DURATION: 302, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44371
READ DURATION: 426, READ INSTS: 48, LAST WRITE DURATION: 264, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61364
READ DURATION: 450, READ INSTS: 51, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.6791
READ DURATION: 466, READ INSTS: 53, LAST WRITE DURATION: 244, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.90984
READ DURATION: 402, READ INSTS: 45, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.41549
READ DURATION: 408, READ INSTS: 47, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.38776
READ DURATION: 434, READ INSTS: 49, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.57246
READ DURATION: 460, READ INSTS: 52, LAST WRITE DURATION: 264, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.74242
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.87288
READ DURATION: 1848, READ INSTS: 52, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 7.33333
READ DURATION: 466, READ INSTS: 53, LAST WRITE DURATION: 272, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.71324
READ DURATION: 426, READ INSTS: 47, LAST WRITE DURATION: 215, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.9814
READ DURATION: 455, READ INSTS: 45, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.69776
READ DURATION: 419, READ INSTS: 47, LAST WRITE DURATION: 299, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.40134
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.4964
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 276, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47826
READ DURATION: 448, READ INSTS: 51, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.56643
READ DURATION: 394, READ INSTS: 42, LAST WRITE DURATION: 244, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.61475
READ DURATION: 368, READ INSTS: 41, LAST WRITE DURATION: 314, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.17197
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 326, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.35583
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.75397
READ DURATION: 450, READ INSTS: 52, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.78571
READ DURATION: 409, READ INSTS: 42, LAST WRITE DURATION: 237, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.72574
READ DURATION: 457, READ INSTS: 51, LAST WRITE DURATION: 301, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.51827
READ DURATION: 416, READ INSTS: 48, LAST WRITE DURATION: 275, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.51273
READ DURATION: 1763, READ INSTS: 42, LAST WRITE DURATION: 268, LAST WRITE INSTS: 28, R/W DURATION RATIO: 6.57836
READ DURATION: 387, READ INSTS: 43, LAST WRITE DURATION: 316, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.22468
READ DURATION: 441, READ INSTS: 49, LAST WRITE DURATION: 309, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42718
READ DURATION: 466, READ INSTS: 53, LAST WRITE DURATION: 214, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.17757
READ DURATION: 450, READ INSTS: 52, LAST WRITE DURATION: 272, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.65441
READ DURATION: 465, READ INSTS: 52, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.97034
READ DURATION: 504, READ INSTS: 50, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.13559
READ DURATION: 415, READ INSTS: 46, LAST WRITE DURATION: 320, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.29688
READ DURATION: 449, READ INSTS: 50, LAST WRITE DURATION: 290, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.54828
READ DURATION: 416, READ INSTS: 47, LAST WRITE DURATION: 233, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.78541
READ DURATION: 468, READ INSTS: 51, LAST WRITE DURATION: 293, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.59727
READ DURATION: 429, READ INSTS: 48, LAST WRITE DURATION: 260, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.65
READ DURATION: 435, READ INSTS: 48, LAST WRITE DURATION: 268, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.62313
READ DURATION: 409, READ INSTS: 47, LAST WRITE DURATION: 215, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.90233
READ DURATION: 474, READ INSTS: 54, LAST WRITE DURATION: 326, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.45399
READ DURATION: 426, READ INSTS: 48, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.95413
READ DURATION: 1867, READ INSTS: 47, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 6.96642
READ DURATION: 378, READ INSTS: 42, LAST WRITE DURATION: 270, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.4
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 318, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.33333
READ DURATION: 408, READ INSTS: 46, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.52239
READ DURATION: 474, READ INSTS: 54, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.66901
READ DURATION: 419, READ INSTS: 46, LAST WRITE DURATION: 258, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.62403
READ DURATION: 434, READ INSTS: 50, LAST WRITE DURATION: 283, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53357
READ DURATION: 474, READ INSTS: 54, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.82308
READ DURATION: 378, READ INSTS: 43, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.73394
READ DURATION: 394, READ INSTS: 44, LAST WRITE DURATION: 310, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.27097
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 302, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.46358
READ DURATION: 471, READ INSTS: 50, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.86905
READ DURATION: 453, READ INSTS: 47, LAST WRITE DURATION: 271, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.67159
READ DURATION: 379, READ INSTS: 42, LAST WRITE DURATION: 281, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.34875
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 318, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.33333
READ DURATION: 450, READ INSTS: 52, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.6791
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 1735, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.292328
WAITED CYCLES: 511
READ DURATION: 427, READ INSTS: 49, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.69444
READ DURATION: 378, READ INSTS: 42, LAST WRITE DURATION: 262, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44275
READ DURATION: 494, READ INSTS: 52, LAST WRITE DURATION: 268, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.84328
READ DURATION: 442, READ INSTS: 52, LAST WRITE DURATION: 231, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.91342
READ DURATION: 437, READ INSTS: 49, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.85169
READ DURATION: 408, READ INSTS: 42, LAST WRITE DURATION: 277, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47292
READ DURATION: 401, READ INSTS: 45, LAST WRITE DURATION: 318, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.26101
READ DURATION: 458, READ INSTS: 52, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.56849
READ DURATION: 457, READ INSTS: 52, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.93644
READ DURATION: 511, READ INSTS: 47, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.16525
READ DURATION: 402, READ INSTS: 43, LAST WRITE DURATION: 341, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.17889
READ DURATION: 364, READ INSTS: 41, LAST WRITE DURATION: 308, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.18182
READ DURATION: 466, READ INSTS: 53, LAST WRITE DURATION: 326, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42945
READ DURATION: 410, READ INSTS: 47, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.79825
READ DURATION: 1781, READ INSTS: 37, LAST WRITE DURATION: 273, LAST WRITE INSTS: 25, R/W DURATION RATIO: 6.52381
READ DURATION: 444, READ INSTS: 49, LAST WRITE DURATION: 345, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.28696
READ DURATION: 400, READ INSTS: 45, LAST WRITE DURATION: 252, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.5873
READ DURATION: 437, READ INSTS: 48, LAST WRITE DURATION: 296, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.47635
READ DURATION: 409, READ INSTS: 46, LAST WRITE DURATION: 271, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.50923
READ DURATION: 424, READ INSTS: 48, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.49296
READ DURATION: 434, READ INSTS: 50, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.6194
READ DURATION: 487, READ INSTS: 52, LAST WRITE DURATION: 255, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.9098
READ DURATION: 419, READ INSTS: 45, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.83772
READ DURATION: 435, READ INSTS: 48, LAST WRITE DURATION: 301, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.44518
READ DURATION: 428, READ INSTS: 48, LAST WRITE DURATION: 271, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.57934
READ DURATION: 411, READ INSTS: 46, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53358
READ DURATION: 411, READ INSTS: 47, LAST WRITE DURATION: 288, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.42708
READ DURATION: 460, READ INSTS: 51, LAST WRITE DURATION: 252, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.8254
READ DURATION: 434, READ INSTS: 43, LAST WRITE DURATION: 232, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.87069
READ DURATION: 392, READ INSTS: 44, LAST WRITE DURATION: 309, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.26861
