[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/520_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 218, LAST WRITE DURATION: 442, R/W DURATION RATIO: 0.493213
READ DURATION: 2016, LAST WRITE DURATION: 120, R/W DURATION RATIO: 16.8
READ DURATION: 212, LAST WRITE DURATION: 170, R/W DURATION RATIO: 1.24706
READ DURATION: 1, LAST WRITE DURATION: 343, R/W DURATION RATIO: 0.00291545
READ DURATION: 9, LAST WRITE DURATION: 1053, R/W DURATION RATIO: 0.00854701
READ DURATION: 1, LAST WRITE DURATION: 1148, R/W DURATION RATIO: 0.00087108
READ DURATION: 1541, LAST WRITE DURATION: 854, R/W DURATION RATIO: 1.80445
READ DURATION: 538, LAST WRITE DURATION: 497, R/W DURATION RATIO: 1.08249
READ DURATION: 622, LAST WRITE DURATION: 437, R/W DURATION RATIO: 1.42334
READ DURATION: 660, LAST WRITE DURATION: 328, R/W DURATION RATIO: 2.0122
READ DURATION: 689, LAST WRITE DURATION: 1874, R/W DURATION RATIO: 0.367663
READ DURATION: 1167, LAST WRITE DURATION: 419, R/W DURATION RATIO: 2.7852
READ DURATION: 766, LAST WRITE DURATION: 534, R/W DURATION RATIO: 1.43446
READ DURATION: 796, LAST WRITE DURATION: 448, R/W DURATION RATIO: 1.77679
READ DURATION: 1215, LAST WRITE DURATION: 388, R/W DURATION RATIO: 3.13144
READ DURATION: 939, LAST WRITE DURATION: 452, R/W DURATION RATIO: 2.07743
READ DURATION: 684, LAST WRITE DURATION: 681, R/W DURATION RATIO: 1.00441
READ DURATION: 663, LAST WRITE DURATION: 289, R/W DURATION RATIO: 2.29412
READ DURATION: 1991, LAST WRITE DURATION: 406, R/W DURATION RATIO: 4.90394
READ DURATION: 649, LAST WRITE DURATION: 342, R/W DURATION RATIO: 1.89766
READ DURATION: 603, LAST WRITE DURATION: 333, R/W DURATION RATIO: 1.81081
READ DURATION: 631, LAST WRITE DURATION: 430, R/W DURATION RATIO: 1.46744
READ DURATION: 788, LAST WRITE DURATION: 488, R/W DURATION RATIO: 1.61475
READ DURATION: 666, LAST WRITE DURATION: 363, R/W DURATION RATIO: 1.83471
READ DURATION: 691, LAST WRITE DURATION: 428, R/W DURATION RATIO: 1.61449
READ DURATION: 692, LAST WRITE DURATION: 381, R/W DURATION RATIO: 1.81627
READ DURATION: 663, LAST WRITE DURATION: 318, R/W DURATION RATIO: 2.08491
READ DURATION: 780, LAST WRITE DURATION: 342, R/W DURATION RATIO: 2.2807
READ DURATION: 2123, LAST WRITE DURATION: 373, R/W DURATION RATIO: 5.69169
READ DURATION: 741, LAST WRITE DURATION: 393, R/W DURATION RATIO: 1.8855
READ DURATION: 596, LAST WRITE DURATION: 400, R/W DURATION RATIO: 1.49
READ DURATION: 702, LAST WRITE DURATION: 396, R/W DURATION RATIO: 1.77273
READ DURATION: 776, LAST WRITE DURATION: 340, R/W DURATION RATIO: 2.28235
READ DURATION: 667, LAST WRITE DURATION: 381, R/W DURATION RATIO: 1.75066
READ DURATION: 898, LAST WRITE DURATION: 480, R/W DURATION RATIO: 1.87083
READ DURATION: 691, LAST WRITE DURATION: 477, R/W DURATION RATIO: 1.44864
READ DURATION: 690, LAST WRITE DURATION: 444, R/W DURATION RATIO: 1.55405
READ DURATION: 644, LAST WRITE DURATION: 364, R/W DURATION RATIO: 1.76923
READ DURATION: 2140, LAST WRITE DURATION: 362, R/W DURATION RATIO: 5.9116
READ DURATION: 907, LAST WRITE DURATION: 454, R/W DURATION RATIO: 1.9978
READ DURATION: 615, LAST WRITE DURATION: 389, R/W DURATION RATIO: 1.58098
READ DURATION: 636, LAST WRITE DURATION: 372, R/W DURATION RATIO: 1.70968
READ DURATION: 781, LAST WRITE DURATION: 376, R/W DURATION RATIO: 2.07713
READ DURATION: 708, LAST WRITE DURATION: 392, R/W DURATION RATIO: 1.80612
READ DURATION: 667, LAST WRITE DURATION: 397, R/W DURATION RATIO: 1.6801
READ DURATION: 806, LAST WRITE DURATION: 423, R/W DURATION RATIO: 1.90544
READ DURATION: 784, LAST WRITE DURATION: 457, R/W DURATION RATIO: 1.71554
READ DURATION: 909, LAST WRITE DURATION: 350, R/W DURATION RATIO: 2.59714
READ DURATION: 2137, LAST WRITE DURATION: 370, R/W DURATION RATIO: 5.77568
READ DURATION: 789, LAST WRITE DURATION: 373, R/W DURATION RATIO: 2.11528
READ DURATION: 632, LAST WRITE DURATION: 338, R/W DURATION RATIO: 1.86982
READ DURATION: 828, LAST WRITE DURATION: 432, R/W DURATION RATIO: 1.91667
READ DURATION: 701, LAST WRITE DURATION: 336, R/W DURATION RATIO: 2.08631
READ DURATION: 800, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.48447
READ DURATION: 699, LAST WRITE DURATION: 458, R/W DURATION RATIO: 1.5262
READ DURATION: 680, LAST WRITE DURATION: 334, R/W DURATION RATIO: 2.03593
READ DURATION: 669, LAST WRITE DURATION: 427, R/W DURATION RATIO: 1.56674
READ DURATION: 1051, LAST WRITE DURATION: 455, R/W DURATION RATIO: 2.30989
READ DURATION: 1013, LAST WRITE DURATION: 1991, R/W DURATION RATIO: 0.50879
READ DURATION: 978, LAST WRITE DURATION: 605, R/W DURATION RATIO: 1.61653
READ DURATION: 713, LAST WRITE DURATION: 653, R/W DURATION RATIO: 1.09188
READ DURATION: 697, LAST WRITE DURATION: 400, R/W DURATION RATIO: 1.7425
READ DURATION: 722, LAST WRITE DURATION: 332, R/W DURATION RATIO: 2.1747
READ DURATION: 665, LAST WRITE DURATION: 396, R/W DURATION RATIO: 1.67929
READ DURATION: 629, LAST WRITE DURATION: 357, R/W DURATION RATIO: 1.7619
READ DURATION: 594, LAST WRITE DURATION: 375, R/W DURATION RATIO: 1.584
READ DURATION: 596, LAST WRITE DURATION: 372, R/W DURATION RATIO: 1.60215
READ DURATION: 1989, LAST WRITE DURATION: 330, R/W DURATION RATIO: 6.02727
READ DURATION: 657, LAST WRITE DURATION: 568, R/W DURATION RATIO: 1.15669
READ DURATION: 880, LAST WRITE DURATION: 446, R/W DURATION RATIO: 1.97309
READ DURATION: 601, LAST WRITE DURATION: 487, R/W DURATION RATIO: 1.23409
READ DURATION: 863, LAST WRITE DURATION: 383, R/W DURATION RATIO: 2.25326
READ DURATION: 942, LAST WRITE DURATION: 376, R/W DURATION RATIO: 2.50532
READ DURATION: 800, LAST WRITE DURATION: 344, R/W DURATION RATIO: 2.32558
READ DURATION: 739, LAST WRITE DURATION: 430, R/W DURATION RATIO: 1.7186
READ DURATION: 637, LAST WRITE DURATION: 405, R/W DURATION RATIO: 1.57284
READ DURATION: 2092, LAST WRITE DURATION: 379, R/W DURATION RATIO: 5.51979
READ DURATION: 1265, LAST WRITE DURATION: 384, R/W DURATION RATIO: 3.29427
READ DURATION: 501, LAST WRITE DURATION: 500, R/W DURATION RATIO: 1.002
READ DURATION: 832, LAST WRITE DURATION: 439, R/W DURATION RATIO: 1.89522
READ DURATION: 784, LAST WRITE DURATION: 315, R/W DURATION RATIO: 2.48889
READ DURATION: 1007, LAST WRITE DURATION: 428, R/W DURATION RATIO: 2.3528
READ DURATION: 555, LAST WRITE DURATION: 447, R/W DURATION RATIO: 1.24161
READ DURATION: 596, LAST WRITE DURATION: 388, R/W DURATION RATIO: 1.53608
READ DURATION: 668, LAST WRITE DURATION: 391, R/W DURATION RATIO: 1.70844
READ DURATION: 952, LAST WRITE DURATION: 476, R/W DURATION RATIO: 2
READ DURATION: 664, LAST WRITE DURATION: 1838, R/W DURATION RATIO: 0.361262
READ DURATION: 1064, LAST WRITE DURATION: 538, R/W DURATION RATIO: 1.9777
READ DURATION: 687, LAST WRITE DURATION: 489, R/W DURATION RATIO: 1.40491
READ DURATION: 747, LAST WRITE DURATION: 401, R/W DURATION RATIO: 1.86284
READ DURATION: 595, LAST WRITE DURATION: 417, R/W DURATION RATIO: 1.42686
READ DURATION: 1165, LAST WRITE DURATION: 396, R/W DURATION RATIO: 2.94192
READ DURATION: 722, LAST WRITE DURATION: 590, R/W DURATION RATIO: 1.22373
READ DURATION: 706, LAST WRITE DURATION: 357, R/W DURATION RATIO: 1.97759
READ DURATION: 677, LAST WRITE DURATION: 403, R/W DURATION RATIO: 1.6799
READ DURATION: 785, LAST WRITE DURATION: 1937, R/W DURATION RATIO: 0.405266
READ DURATION: 657, LAST WRITE DURATION: 414, R/W DURATION RATIO: 1.58696
READ DURATION: 836, LAST WRITE DURATION: 413, R/W DURATION RATIO: 2.02421
READ DURATION: 690, LAST WRITE DURATION: 306, R/W DURATION RATIO: 2.2549
READ DURATION: 1234, LAST WRITE DURATION: 296, R/W DURATION RATIO: 4.16892
READ DURATION: 274, LAST WRITE DURATION: 279, R/W DURATION RATIO: 0.982079
READ DURATION: 85, LAST WRITE DURATION: 72, R/W DURATION RATIO: 1.18056
READ DURATION: 757, LAST WRITE DURATION: 408, R/W DURATION RATIO: 1.85539
READ DURATION: 743, LAST WRITE DURATION: 347, R/W DURATION RATIO: 2.14121
READ DURATION: 2143, LAST WRITE DURATION: 454, R/W DURATION RATIO: 4.72026
READ DURATION: 733, LAST WRITE DURATION: 379, R/W DURATION RATIO: 1.93404
READ DURATION: 1139, LAST WRITE DURATION: 420, R/W DURATION RATIO: 2.7119
READ DURATION: 874, LAST WRITE DURATION: 457, R/W DURATION RATIO: 1.91247
READ DURATION: 718, LAST WRITE DURATION: 389, R/W DURATION RATIO: 1.84576
READ DURATION: 762, LAST WRITE DURATION: 408, R/W DURATION RATIO: 1.86765
READ DURATION: 819, LAST WRITE DURATION: 364, R/W DURATION RATIO: 2.25
READ DURATION: 1305, LAST WRITE DURATION: 363, R/W DURATION RATIO: 3.59504
READ DURATION: 737, LAST WRITE DURATION: 547, R/W DURATION RATIO: 1.34735
READ DURATION: 728, LAST WRITE DURATION: 1859, R/W DURATION RATIO: 0.391608
READ DURATION: 745, LAST WRITE DURATION: 424, R/W DURATION RATIO: 1.75708
READ DURATION: 918, LAST WRITE DURATION: 447, R/W DURATION RATIO: 2.05369
READ DURATION: 84, LAST WRITE DURATION: 138, R/W DURATION RATIO: 0.608696
READ DURATION: 94, LAST WRITE DURATION: 124, R/W DURATION RATIO: 0.758065
READ DURATION: 830, LAST WRITE DURATION: 368, R/W DURATION RATIO: 2.25543
READ DURATION: 1176, LAST WRITE DURATION: 356, R/W DURATION RATIO: 3.30337
READ DURATION: 969, LAST WRITE DURATION: 461, R/W DURATION RATIO: 2.10195
READ DURATION: 742, LAST WRITE DURATION: 438, R/W DURATION RATIO: 1.69406
READ DURATION: 713, LAST WRITE DURATION: 432, R/W DURATION RATIO: 1.65046
READ DURATION: 697, LAST WRITE DURATION: 1892, R/W DURATION RATIO: 0.368393
READ DURATION: 691, LAST WRITE DURATION: 390, R/W DURATION RATIO: 1.77179
READ DURATION: 618, LAST WRITE DURATION: 482, R/W DURATION RATIO: 1.28216
READ DURATION: 677, LAST WRITE DURATION: 315, R/W DURATION RATIO: 2.14921
READ DURATION: 763, LAST WRITE DURATION: 413, R/W DURATION RATIO: 1.84746
READ DURATION: 659, LAST WRITE DURATION: 469, R/W DURATION RATIO: 1.40512
READ DURATION: 928, LAST WRITE DURATION: 330, R/W DURATION RATIO: 2.81212
READ DURATION: 639, LAST WRITE DURATION: 698, R/W DURATION RATIO: 0.915473
READ DURATION: 570, LAST WRITE DURATION: 409, R/W DURATION RATIO: 1.39364
READ DURATION: 708, LAST WRITE DURATION: 388, R/W DURATION RATIO: 1.82474
READ DURATION: 619, LAST WRITE DURATION: 1775, R/W DURATION RATIO: 0.348732
READ DURATION: 489, LAST WRITE DURATION: 402, R/W DURATION RATIO: 1.21642
READ DURATION: 684, LAST WRITE DURATION: 396, R/W DURATION RATIO: 1.72727
READ DURATION: 960, LAST WRITE DURATION: 381, R/W DURATION RATIO: 2.51969
READ DURATION: 759, LAST WRITE DURATION: 566, R/W DURATION RATIO: 1.34099
READ DURATION: 622, LAST WRITE DURATION: 563, R/W DURATION RATIO: 1.1048
READ DURATION: 628, LAST WRITE DURATION: 358, R/W DURATION RATIO: 1.75419
READ DURATION: 623, LAST WRITE DURATION: 383, R/W DURATION RATIO: 1.62663
READ DURATION: 737, LAST WRITE DURATION: 438, R/W DURATION RATIO: 1.68265
READ DURATION: 2083, LAST WRITE DURATION: 416, R/W DURATION RATIO: 5.00721
READ DURATION: 641, LAST WRITE DURATION: 442, R/W DURATION RATIO: 1.45023
READ DURATION: 554, LAST WRITE DURATION: 418, R/W DURATION RATIO: 1.32536
READ DURATION: 1031, LAST WRITE DURATION: 380, R/W DURATION RATIO: 2.71316
READ DURATION: 873, LAST WRITE DURATION: 490, R/W DURATION RATIO: 1.78163
READ DURATION: 736, LAST WRITE DURATION: 380, R/W DURATION RATIO: 1.93684
READ DURATION: 581, LAST WRITE DURATION: 350, R/W DURATION RATIO: 1.66
READ DURATION: 863, LAST WRITE DURATION: 567, R/W DURATION RATIO: 1.52205
READ DURATION: 856, LAST WRITE DURATION: 474, R/W DURATION RATIO: 1.80591
READ DURATION: 2097, LAST WRITE DURATION: 412, R/W DURATION RATIO: 5.08981
READ DURATION: 752, LAST WRITE DURATION: 396, R/W DURATION RATIO: 1.89899
READ DURATION: 581, LAST WRITE DURATION: 421, R/W DURATION RATIO: 1.38005
READ DURATION: 572, LAST WRITE DURATION: 420, R/W DURATION RATIO: 1.3619
READ DURATION: 864, LAST WRITE DURATION: 415, R/W DURATION RATIO: 2.08193
READ DURATION: 906, LAST WRITE DURATION: 409, R/W DURATION RATIO: 2.21516
READ DURATION: 946, LAST WRITE DURATION: 439, R/W DURATION RATIO: 2.1549
READ DURATION: 691, LAST WRITE DURATION: 341, R/W DURATION RATIO: 2.02639
READ DURATION: 1006, LAST WRITE DURATION: 448, R/W DURATION RATIO: 2.24554
READ DURATION: 2226, LAST WRITE DURATION: 448, R/W DURATION RATIO: 4.96875
READ DURATION: 621, LAST WRITE DURATION: 513, R/W DURATION RATIO: 1.21053
READ DURATION: 1117, LAST WRITE DURATION: 442, R/W DURATION RATIO: 2.52715
READ DURATION: 734, LAST WRITE DURATION: 502, R/W DURATION RATIO: 1.46215
READ DURATION: 699, LAST WRITE DURATION: 363, R/W DURATION RATIO: 1.92562
READ DURATION: 667, LAST WRITE DURATION: 412, R/W DURATION RATIO: 1.61893
